Username                   GitCred
jamesturk                  4.46
jayallen                   4.46
mattmatt                   4.46
radar                      4.46
westbaer                   4.46
kennethkalmer              4.45
rsms                       4.45
nex3                       4.45
glow                       4.45
rocky                      4.44
carldr                     4.44
jamierumbelow              4.44
pedro                      4.44
tablatom                   4.44
cssboy                     4.43
probablycorey              4.43
leto                       4.43
shiflett                   4.43
crnixon                    4.42
radamant                   4.42
sd                         4.41
ap                         4.41
richkilmer                 4.41
jflam                      4.40
progprog                   4.40
jasonm                     4.40
juliasoergel               4.40
lukegalea                  4.40
thewoolleyman              4.40
pragdave                   4.39
wedesoft                   4.39
akosma                     4.39
cschneid                   4.39
nofxx                      4.39
chendo                     4.38
michaelklishin             4.38
davisp                     4.38
cpytel                     4.37
integrity                  4.37
mental                     4.37
caelum                     4.36
mattb                      4.36
mattgallagher              4.36
benhoskings                4.36
djangrrl                   4.35
nealford                   4.35
josephwilk                 4.35
CodeOfficer                4.34
perigrin                   4.34
chrisk                     4.34
robbyrussell               4.34
naoyat                     4.33
ieure                      4.33
millenomi                  4.33
dtsato                     4.33
smparkes                   4.33
pdsphil                    4.33
tommorris                  4.32
erikfrey                   4.31
ReinH                      4.31
viniciusteles              4.31
stevan                     4.31
digi604                    4.30
tonyg                      4.30
rkh                        4.29
brandon                    4.29
greatseth                  4.29
jgarlick                   4.29
therealadam                4.29
dcbriccetti                4.28
hcatlin                    4.28
erlware                    4.27
tastyplannerkevin          4.27
amazingsyco                4.27
gmosx                      4.26
DRMacIver                  4.26
klacke                     4.26
lachie                     4.25
cchandler                  4.24
obra                       4.24
pcalcado                   4.24
activescaffold             4.24
bartTC                     4.23
weavejester                4.23
kohlhofer                  4.23
jseifer                    4.23
slact                      4.23
kishikawakatsumi           4.22
collin                     4.21
miketracy                  4.21
jsierles                   4.20
yaroslav                   4.20
pydanny                    4.20
fesplugas                  4.19
dan-manges                 4.19
cee-dub                    4.18
jicksta                    4.18
erichocean                 4.18
ivana                      4.18
tqbf                       4.17
rvirding                   4.17
sync                       4.17
JacobVorreuter             4.17
michaeldv                  4.17
fnando                     4.16
mza                        4.16
norio-nomura               4.16
haste                      4.16
igal                       4.16
ehersman                   4.16
jtrupiano                  4.16
mamuso                     4.15
northern-bites             4.15
hadley                     4.14
soundcloud                 4.14
whatman75                  4.14
larrytheliquid             4.13
nbibler                    4.13
mschrag                    4.13
njbartlett                 4.13
carlo                      4.13
mcroydon                   4.12
MagLev                     4.12
nshah                      4.12
duncanbeevers              4.11
potionfactory              4.10
ydnar                      4.10
mattknox                   4.10
tylerhunt                  4.09
frsyuki                    4.09
applicake                  4.08
johnboxall                 4.08
brightbox                  4.08
andreiz                    4.08
abhay                      4.08
gstark                     4.07
trey                       4.07
sco                        4.07
insoshi                    4.07
dwillis                    4.07
lrug                       4.07
theory                     4.07
kamicane                   4.06
delynn                     4.06
cwensel                    4.06
bs                         4.05
quag                       4.05
maxlapshin                 4.05
dagolden                   4.05
freakboy3742               4.05
cheeaun                    4.05
jasonwatkinspdx            4.04
lukebayes                  4.04
Manfred                    4.04
bkerley                    4.04
mynyml                     4.04
spullara                   4.03
citrusbyte                 4.03
entangledstate             4.03
kellan                     4.03
orionz                     4.03
jcoglan                    4.03
mrflip                     4.03
railsbridge                4.02
assaf                      4.02
iain                       4.02
lukego                     4.01
ottobehrens                4.01
Sixeight                   4.01
chrisdrackett              4.01
pergesu                    4.01
malcolmt                   4.01
oldmoe                     4.01
harrisj                    4.00
yariv                      4.00
quackingduck               4.00
kballard                   4.00
alexvollmer                3.99
sixapart                   3.99
bitprophet                 3.99
pjones                     3.99
Yuffster                   3.99
spicycode                  3.99
jwiegley                   3.98
doublec                    3.98
skaes                      3.98
ichverstehe                3.98
zenspider                  3.98
tav                        3.98
dwhittle                   3.97
bricas                     3.97
jlongster                  3.97
malkomalko                 3.97
saverio                    3.96
augustl                    3.96
mogeneration               3.96
iamdanw                    3.96
fujin                      3.96
digitarald                 3.96
jamiew                     3.95
francois                   3.95
kevsmith                   3.94
c7                         3.94
jbellis                    3.94
pk11                       3.94
ydn                        3.94
decklin                    3.93
jaimeiniesta               3.93
csshsh                     3.92
linkingpaths               3.92
etnt                       3.92
somic                      3.92
newbamboo                  3.91
edspencer                  3.91
elle                       3.91
knowtheory                 3.91
richcollins                3.91
brianmario                 3.90
markpasc                   3.90
queso                      3.89
rlivsey                    3.89
chuyeow                    3.89
asapnet                    3.89
jmhodges                   3.88
stevenbristol              3.88
migurski                   3.87
daeken                     3.87
browsermedia               3.87
jarib                      3.87
voxeo                      3.86
sdegutis                   3.86
raelity                    3.86
markchadwick               3.85
yql                        3.85
hugobr                     3.85
eddit                      3.85
codeslinger                3.84
robin                      3.84
zackham                    3.84
jdp                        3.84
sekimura                   3.84
simonmenke                 3.84
MarkusQ                    3.84
paltman                    3.83
nciagra                    3.83
jashkenas                  3.83
thoughtworks               3.83
metajack                   3.83
mitsuhiko                  3.83
schwern                    3.83
christophsturm             3.82
emonti                     3.82
joewilliams                3.82
vertiginous                3.82
mfp                        3.82
olleolleolle               3.81
patrickt                   3.81
benburkert                 3.80
grempe                     3.80
beppu                      3.80
nekokak                    3.80
bumi                       3.80
paulbuchheit               3.79
ryanbriones                3.79
seancribbs                 3.79
eric                       3.79
iamruinous                 3.79
webs                       3.78
skabber                    3.78
fhwang                     3.78
jochu                      3.78
idangazit                  3.78
eliast                     3.78
isofarro                   3.77
pokeb                      3.77
Gulopine                   3.77
davorg                     3.77
threeve                    3.77
rick                       3.77
shingara                   3.77
aeden                      3.77
pelle                      3.76
Nafai77                    3.76
bomberstudios              3.76
careo                      3.76
gnip                       3.76
elan                       3.76
klondike                   3.75
natbat                     3.75
suitmymind                 3.75
eventmachine               3.75
kemayo                     3.75
wesabe                     3.74
robertbrook                3.74
cylence                    3.74
processone                 3.74
ferblape                   3.74
buildr                     3.74
zachgraves                 3.74
yannk                      3.73
tjw                        3.73
PProvost                   3.73
judofyr                    3.73
finiteloop                 3.73
brixen                     3.72
ccgus                      3.72
webmat                     3.72
galvez                     3.72
pdwryst                    3.72
liz                        3.72
BrianTheCoder              3.71
cgrand                     3.71
purzelrakete               3.71
craigw                     3.71
xantus                     3.71
archfear                   3.71
casualjim                  3.71
jdunck                     3.71
greut                      3.70
myles                      3.70
savetheclocktower          3.70
quamen                     3.70
amiel                      3.69
mallipeddi                 3.69
ambethia                   3.69
puppet-modules             3.69
RichyRich                  3.69
bryanl                     3.69
stephencelis               3.68
tinogomes                  3.68
merb                       3.68
dag                        3.67
sbfaulkner                 3.67
martine                    3.67
lincolnloop                3.67
sonatype                   3.66
zac                        3.66
petdance                   3.66
railsdog                   3.65
kevinweil                  3.64
dyoder                     3.64
mnot                       3.63
jweiss                     3.63
haberman                   3.63
da3mon                     3.63
ultraninja                 3.63
tpitale                    3.63
luckiestmonkey             3.63
jboner                     3.63
Chouser                    3.62
rubyspec                   3.62
JonGretar                  3.62
graydon                    3.62
klbostee                   3.62
evilchelu                  3.62
luislavena                 3.62
adamv                      3.62
amatsuda                   3.62
chirags                    3.62
lp                         3.61
snowblink                  3.61
gf3                        3.61
bard                       3.61
ihower                     3.60
s7ephen                    3.59
graysky                    3.59
jorgeortiz85               3.59
TomK32                     3.59
gigamo                     3.59
kumpera                    3.59
kamipo                     3.58
swannodette                3.58
sandro                     3.58
ph7                        3.58
edbond                     3.58
adelcambre                 3.58
mvanholstyn                3.57
kyanny                     3.57
wilson                     3.56
sprsquish                  3.56
zilkey                     3.56
elim                       3.55
fogus                      3.55
jpick                      3.55
baz                        3.55
rsl                        3.55
sspencer                   3.54
levinalex                  3.54
fidothe                    3.53
bendiken                   3.53
Gregg                      3.53
chronicole                 3.52
peterlih                   3.52
thillerson                 3.52
paulca                     3.52
rafaelp                    3.52
rjs                        3.51
chrisrhoden                3.51
bleything                  3.51
kovyrin                    3.51
vanpelt                    3.51
dto                        3.50
WIZARDISHUNGRY             3.50
ryanlowe                   3.50
eston                      3.50
caffo                      3.50
carmelyne                  3.49
amyhoy                     3.49
niw                        3.49
natfriedman                3.49
pilu                       3.49
notbenh                    3.49
peleteiro                  3.48
intalio                    3.48
kamal                      3.48
ricardochimal              3.47
kommen                     3.47
webiest                    3.47
braintree                  3.47
h-lame                     3.46
dbr                        3.46
bjartek                    3.46
jschachter                 3.46
gma                        3.45
oier                       3.45
0hoo                       3.45
gabrielfalcao              3.45
nikolasco                  3.45
hotchpotch                 3.45
batterseapower             3.45
dmitryame                  3.44
adamstac                   3.44
sebastien                  3.44
jdunphy                    3.44
fmeyer                     3.44
dcadenas                   3.44
mzp                        3.43
kulor                      3.43
a2800276                   3.43
joeshaw                    3.43
natan                      3.43
reidab                     3.43
rtyler                     3.43
gphat                      3.43
actsasflinn                3.43
benthebear                 3.43
squeejee                   3.43
gabrielg                   3.43
tuupola                    3.42
technohippy                3.42
angelic                    3.42
directeur                  3.42
pjb3                       3.42
teejayvanslyke             3.42
jkocherhans                3.42
dcgrigsby                  3.41
yvdriess                   3.41
hornbeck                   3.41
etrepum                    3.41
katharina                  3.41
wfarr                      3.41
yakischloba                3.41
jruby                      3.40
ldandersen                 3.40
ecarnevale                 3.40
thomasklein                3.39
rmm5t                      3.39
suvajitgupta               3.39
natekoechley               3.39
b                          3.39
kubicek                    3.38
flavorjones                3.38
shyouhei                   3.38
maiha                      3.37
joe-loco                   3.37
lhl                        3.37
kohsuke                    3.37
nmeans                     3.37
alexott                    3.37
singpolyma                 3.37
aroberts                   3.37
seanohalpin                3.36
capitalist                 3.36
raul                       3.36
codebrulee                 3.36
colin                      3.36
jperkins                   3.36
peritus                    3.36
voldemort                  3.35
cowmanifestation           3.35
majersee                   3.35
steveyen                   3.35
ashchan                    3.35
bguthrie                   3.35
tag                        3.35
bslatkin                   3.34
traviscline                3.34
dajobe                     3.34
anutron                    3.33
franckcuny                 3.33
look                       3.33
grosser                    3.33
0x6e6562                   3.33
trotter                    3.33
BeamerCola                 3.33
audreyt                    3.33
kpumuk                     3.33
terrbear                   3.33
paulhammond                3.33
codyfauser                 3.33
besquared                  3.33
kassens                    3.32
speedmax                   3.32
maddingue                  3.32
halfbyte                   3.32
cardmagic                  3.32
sunny                      3.32
blindglobe                 3.32
